entry_time,exit_time,entry_price,exit_price,pnl_underlying,pnl_net,type,exit_reason
2025-06-13 10:34:00-04:00,2025-06-13 15:55:00-04:00,527.26,526.11,-1.1499999999999773,-2.1499999999999773,long,End of Day / Time Exit
2025-06-16 10:09:00-04:00,2025-06-16 15:55:00-04:00,533.62,534.18,-0.5599999999999454,-1.5599999999999454,short,End of Day / Time Exit
2025-06-17 09:30:00-04:00,2025-06-17 15:55:00-04:00,532.42,529.33,3.089999999999918,2.089999999999918,short,End of Day / Time Exit
2025-06-18 09:31:00-04:00,2025-06-18 15:55:00-04:00,529.46,529.05,-0.41000000000008185,-1.4100000000000819,long,End of Day / Time Exit
2025-06-20 09:30:00-04:00,2025-06-20 10:24:00-04:00,532.52,528.79236,-3.727639999999951,-4.727639999999951,long,Stop Loss
2025-06-20 10:37:00-04:00,2025-06-20 10:54:00-04:00,529.35,525.64455,-3.7054500000000417,-4.705450000000042,long,Stop Loss
2025-06-20 11:09:00-04:00,2025-06-20 15:55:00-04:00,526.01,526.84,0.8300000000000409,-0.16999999999995907,long,End of Day / Time Exit
